ID,Role,Description
1884725554,"
        Ingeniero de desarrollo
    ","La Dirección de Innovación de la Universidad EAFIT busca ingeniero de desarrollo para laborar en uno de los proyectos educativos que se tienen. Los interesados en aplicar a la oferta deben ser profesionales en Ingeniería de Sistemas, Ingeniero Informático y carreras afines, con más de 6 años de experiencia en el diseño, planeación e implementación de software, con posgrado en ingeniería de software, arquitectura de software, sistemas de información o área afín/relacionado a estos temas de arquitectura de software. Amplia experiencia demostrada en desarrollo de software, aplicación de buenas prácticas, implementación de modelos ágiles, participación en células ágiles, técnicas aplicadas en pruebas unitarias, TDD, refactor, código limpio, conocimientos de diseño de software, arquitectura de software. Capacidad para el trabajo en equipo, que entienda y apoye procesos relacionados con metodologías ágiles. Capacidad para el autoaprendizaje y conocimiento de nuevos temas. Capacidad para el autoaprendizaje y conocimiento de nuevos temas. Conocimientos y experiencia en escritura de documentos técnicos, metodología SCRUM, marcos predictivos para el desarrollo de proyectos y conocimientos generales en proyectos públicos relacionados con tecnología."
1884706048,"
        Coordinador de desarrollo
    ","Importante y reconocido grupo de empresas Colombianas, requiere de manera urgente Jefe de Desarrollo, quien debe ser profesional en Ingeniería de sistemas con especialización o maestría en Desarrollo de Software, Arquitectura o Gerencia de Sistemas y nivel de inglés B2.Experiencia mayor a 3 años en cargos de liderazgo de proyectos en desarrollo de software, (Coordinador, jefe, gerente, arquitecto o afines). Indispensable debe ser muy fuerte técnicamente en Desarrollo (se realiza prueba técnica), debe haber participado en todo lo relacionado con transformación digital, contar con experiencia en manejo de personal (grupos mayores a 15 personas).Indispensable contar con habilidades de comunicación asertiva, excelente relacionamiento, alto nivel de análisis e innovación.Contrato a término indefinido directamente con la empresa, salario competitivo con el mercado más beneficios.Importante, actualmente se trabaja remoto, por esta razón actualmente puede estar en cualquier parte del país, pero a mediano plazo, debe contar con la disponibilidad de trasladarse a Bogotá"
1884728489,"
        Desarrollador sr. android
    ","Importante multinacional requiere para su equipo de trabajo estudiante de ultimo semestre, Profesional en Ingeniería de sistemas o carreras a fines con experiencia Mínima de 5 Años en desarrollo Móvil Android  y la implementación de aplicaciones de Android, Importante contar con experiencia en manejo de metodología Scrum.Se Maneja Modalidad Home-Office"
1884739979,"
        Desarrollador sharepoint - remoto
    ","En Personalsoft nos encontramos en la búsqueda de Desarrollador Front End, debe ser Tecnólogo o Profesional en área relacionadas a sistemas con experiencia en el cargo de mínimo 3 años y conocimientos en Sharepoint, office 365 y Azure.Horario: lunes a viernes 7:30 am - 5:30 pmLa labor se realiza de manera remota."
1884740185,"
        Coordinador de desarrollo (it)
    ","Reconocida cadena hotelera con presencia a nivel nacional e internacional, busca para su equipo de tecnología profesional en Ingeniería de Sistemas o carreras afines, con experiencia mínima de 3 años en análisis, desarrollo y programación de nuevas herramientas, optimización de códigos, documentación de módulos, creación de informes.  Contrato a termino indefinido, salario base mas prestaciones de ley y plan de beneficios. Si cumples con los requisitos antes mencionados y estas de acuerdo con las condiciones de la oferta, aplica tu hoja de vida a esta oferta."
1884730391,"
        Desarrollador broker
    ","Importante Multinacional colombiana especializada en servicios de Consultoría, Implementación de Core Bancario, Fábrica de Pruebas y Fábrica de Software principalmente para compañías del sector financiero y bursátil, requiere para su equipo de  trabajo Ingeniero de sistemas o afines con experiencia mínima de Tres ( 3 )  años desarrollando sobre el BUS de integración de IBM (WebSphere Message Broker e Integration BUS). Con conocimientos y experiencia de desarrollos y configuraciones de Datapower y WSRR de IBM. Con conocimientos y experiencia de desarrollos y configuraciones mensajerias SOAP, Rest y micro servicios. Con experiencia en diseño y desarrollo de contratos de servicios. Deseables conocimientos y experiencia en el sector Bancario. Deseable certificación en IBM Developer Integration BUS 10Contrato a término indefinidoBeneficios como Medicina prepagada, fondo de empleados, seguros de vida."
1884737397,"
        Desarrollador fullstack
    ","Garantizar los procesos de diseño, revisión e implantación de desarrollos de software, a través de la integración de Stakeholders.1. Modelar y afinar las necesidades y especificaciones técnicas con el objetivo de estructurar un diseño detallado que conlleve a la implantación exitosa de la funcionalidad requerida.2. Garantizar la permanente revisión del código, con el fin de detectar de manera temprana inconsistencias o posibles riesgos, habilitando las correcciones y acciones de mejora inmediatas.3. Cumplir en la entrega de desarrollos que generen valor y solución a las necesidades de la organización."
1884737229,"
        Analista de desarrollo
    ","Actualmente nos encontramos en la búsqueda de profesional en Ingeniería de sistemas, informática o afines, con experiencia mínimo de 2 años en  Desarrollo de aplicaciones On premise, web, móviles y en la nube.Si  tiene experiencia y cumples con el perfil  postúlate!"
1884713215,"
        Desarrollador junior
    ","Importante Empresa del Sector Financiero se encuentra actualmente en busca de un Desarrollador Junior para realizar las siguientes funciones:- Funci??n 1: Desarrollo e implementaci??n de software del producto a construirse durante ciclos de desarrollo ??gil.- Funci??n 2:Buenas pr??cticas de desarrollo: Principios de dise??o, Patrones de dise??o, Ciclos de desarrollo continuo- Funci??n 3: Participar activamente en el desarrollo de iniciativas sobre nuevas aplicaciones y ajustes de las existentes, en aspectos relacionados con el dise??o detallado, pruebas t??cnicas, implantaciones y similares, garantizando el cumplimiento del objetivo de los proyectos y/o requerimientos"
1884722188,"
        Desarrollador mainframe
    ","Requisitos:Debe ser profesional en carreras en Ciencias de la Computación, Ingeniería Informática, Administración de Negocios de tecnología, con 6 años de experiencia certificable trabajando en Desarrollo de aplicaciones Mainframe, estando al tanto de las mejores prácticas en la industria financiera.Conocimientos Específicos:1.Mainframe z/Os, TSO / ISPF, JCL, SMF.2. Sistema de control de seguridad y medio ambiente ACF2, informes y utilidades ACF2 (términos que debe manejar un desarrollador mainframe standard).3. Proceso de programación de trabajos CA7:*Herramienta de informes SAS*Utilidades y herramientas de productividad. UCANDU, COMPAREX, IDCAMS, utilidades de conjuntos de datos de IEB.*Sistema de gestión de cambios Endevor.4. Administración de la base de datos de IBM Lotus notes.5. Análisis y gestión estratégica.6. Excelente comunicación verbal y escrita."
